,Token,Label
18716,FF-09,O
18717,ክቡራን,O
18718,ደምበኞቻችን,O
18719,ገርጂ,I-LOC
18720,አልፎዝ,O
18721,ፕላዛ,I-LOC
18722,ላይ,O
18723,አራት,O
18724,ኪሎ,O
18725,ቅድስት,O
18726,ስላሴ,I-LOC
18727,እንዲሁም,O
18728,ብስራተ,I-LOC
18729,ገብሬል,O
18730,ያሉት,O
18731,ሱቆቻችን,O
18732,ሲመጡ,O
18733,አስተማማኝ,O
18734,ሰፊ,O
18735,ፓርኪንግ,O
18736,ያላቸው,O
18737,መሆናቸውን,O
18738,በታላቅ,O
18739,ደስታ,O
18740,እናበስራለን,O
18741,2,B-PRODUCT
18742,in,I-PRODUCT
18743,1,I-PRODUCT
18744,baby,I-PRODUCT
18745,girl,I-PRODUCT
18746,dress,I-PRODUCT
18747,2200,I-PRICE
18748,birr,I-PRICE
18749,0909003864,I-PHONE
18750,0905707448,I-PHONE
18751,ሊንኩን,O
18752,በመጫን,O
18753,ቴሌግራማችንን,O
18754,ይቀላቀሉhttps://t.me/sinayelj,O
18755,እቃ,O
18756,ለማዘዝ,O
18757,ከስር,O
18758,ያለውን,O
18759,ሊንኮች,O
18760,በመጫን,O
18761,ማዘዝ,O
18762,ትችላላቹ,O
18763,@sinasinaye,O
18764,https://t.me/sinayelj2,O
18765,አድራሻ,O
18766,1⃣ቁጥር1,O
18767,ገርጂ,I-LOC
18768,ኢምፔሪያል,I-LOC
18769,ከሳሚ,O
18770,ህንፃ,I-LOC
18771,ጎን,O
18772,አልፎዝ,O
18773,ፕላዛ,I-LOC
18774,ግራውንድ,O
18775,ላይ,O
18776,እንደገቡ,O
18777,ያገኙናል,O
18778,2⃣ቁጥር2,O
18779,4ኪሎ,I-LOC
18780,ቅድስት,O
18781,ስላሴ,I-LOC
18782,ህንፃ,I-LOC
18783,ማለትም,O
18784,ከብልፅግና,O
18785,ዋናፅፈት,O
18786,ቤት,O
18787,ህንፃ,I-LOC
18788,በስተ,O
18789,ቀኝ,O
18790,ባለው,O
18791,አስፓልት,O
18792,20ሜትር,O
18793,ዝቅ,O
18794,እንዳሉ,O
18795,ሀበሻ,O
18796,ኮፊ,O
18797,የሚገኝበት,O
18798,ቀይ,O
18799,ሸክላ,O
18800,ህንፃ,I-LOC
18801,2ተኛ,O
18802,ፎቅ,I-LOC
18803,ላይ,O
18804,ያገኙናል,O
18805,3⃣ቁጥር3,O
18806,ብስራተ,I-LOC
18807,ገብርኤል,I-PRICE
18808,ላፍቶ,I-LOC
18809,ሞል,I-LOC
18810,መግቢያው,O
18811,ፊት,O
18812,ለፊት,O
18813,የሚገኘው,O
18814,የብስራተ,I-LOC
18815,ገብርኤል,I-PRICE
18816,ቤተ,O
18817,ክርስቲያን,O
18818,ህንፃ,I-LOC
18819,አንደኛ,O
18820,ፎቅ,I-LOC
18821,ላይ,O
18822,ደረጃ,O
18823,እንደወጣቹ,O
18824,በስተግራ,O
18825,በኩል,O
18826,ሱቅ,O
18827,ቁጥር,O
18828,FF-09,O
18829,ክቡራን,O
18830,ደምበኞቻችን,O
18831,ገርጂ,I-LOC
18832,አልፎዝ,O
18833,ፕላዛ,I-LOC
18834,ላይ,O
18835,አራት,O
18836,ኪሎ,O
18837,ቅድስት,O
18838,ስላሴ,I-LOC
18839,እንዲሁም,O
18840,ብስራተ,I-LOC
18841,ገብሬል,O
18842,ያሉት,O
18843,ሱቆቻችን,O
18844,ሲመጡ,O
18845,አስተማማኝ,O
18846,ሰፊ,O
18847,ፓርኪንግ,O
18848,ያላቸው,O
18849,መሆናቸውን,O
18850,በታላቅ,O
18851,ደስታ,O
18852,እናበስራለን,O
18853,2,B-PRODUCT
18854,in,I-PRODUCT
18855,1,I-PRODUCT
18856,baby,I-PRODUCT
18857,girl,I-PRODUCT
18858,dress,I-PRODUCT
18859,2200,I-PRICE
18860,birr,I-PRICE
18861,0909003864,I-PHONE
18862,0905707448,I-PHONE
18863,ሊንኩን,O
18864,በመጫን,O
18865,ቴሌግራማችንን,O
18866,ይቀላቀሉhttps://t.me/sinayelj,O
18867,እቃ,O
18868,ለማዘዝ,O
18869,ከስር,O
18870,ያለውን,O
18871,ሊንኮች,O
18872,በመጫን,O
18873,ማዘዝ,O
18874,ትችላላቹ,O
18875,@sinasinaye,O
18876,https://t.me/sinayelj2,O
18877,አድራሻ,O
18878,1⃣ቁጥር1,O
18879,ገርጂ,I-LOC
18880,ኢምፔሪያል,I-LOC
18881,ከሳሚ,O
18882,ህንፃ,I-LOC
18883,ጎን,O
18884,አልፎዝ,O
18885,ፕላዛ,I-LOC
18886,ግራውንድ,O
18887,ላይ,O
18888,እንደገቡ,O
18889,ያገኙናል,O
18890,2⃣ቁጥር2,O
18891,4ኪሎ,I-LOC
18892,ቅድስት,O
18893,ስላሴ,I-LOC
18894,ህንፃ,I-LOC
18895,ማለትም,O
18896,ከብልፅግና,O
18897,ዋናፅፈት,O
18898,ቤት,O
18899,ህንፃ,I-LOC
18900,በስተ,O
18901,ቀኝ,O
18902,ባለው,O
18903,አስፓልት,O
18904,20ሜትር,O
18905,ዝቅ,O
18906,እንዳሉ,O
18907,ሀበሻ,O
18908,ኮፊ,O
18909,የሚገኝበት,O
18910,ቀይ,O
18911,ሸክላ,O
18912,ህንፃ,I-LOC
18913,2ተኛ,O
18914,ፎቅ,I-LOC
18915,ላይ,O
18916,ያገኙናል,O
18917,3⃣ቁጥር3,O
18918,ብስራተ,I-LOC
18919,ገብርኤል,I-PRICE
18920,ላፍቶ,I-LOC
18921,ሞል,I-LOC
18922,መግቢያው,O
18923,ፊት,O
18924,ለፊት,O
18925,የሚገኘው,O
18926,የብስራተ,I-LOC
18927,ገብርኤል,I-PRICE
18928,ቤተ,O
18929,ክርስቲያን,O
18930,ህንፃ,I-LOC
18931,አንደኛ,O
18932,ፎቅ,I-LOC
18933,ላይ,O
18934,ደረጃ,O
18935,እንደወጣቹ,O
18936,በስተግራ,O
18937,በኩል,O
18938,ሱቅ,O
18939,ቁጥር,O
18940,FF-09,O
18941,ክቡራን,O
18942,ደምበኞቻችን,O
18943,ገርጂ,I-LOC
18944,አልፎዝ,O
18945,ፕላዛ,I-LOC
18946,ላይ,O
18947,አራት,O
18948,ኪሎ,O
18949,ቅድስት,O
18950,ስላሴ,I-LOC
18951,እንዲሁም,O
18952,ብስራተ,I-LOC
18953,ገብሬል,O
18954,ያሉት,O
18955,ሱቆቻችን,O
18956,ሲመጡ,O
18957,አስተማማኝ,O
18958,ሰፊ,O
18959,ፓርኪንግ,O
18960,ያላቸው,O
18961,መሆናቸውን,O
18962,በታላቅ,O
18963,ደስታ,O
18964,እናበስራለን,O
18965,2,B-PRODUCT
18966,in,I-PRODUCT
18967,1,I-PRODUCT
18968,baby,I-PRODUCT
18969,girl,I-PRODUCT
18970,dress,I-PRODUCT
18971,2200,I-PRICE
18972,birr,I-PRICE
18973,0909003864,I-PHONE
18974,0905707448,I-PHONE
18975,ሊንኩን,O
18976,በመጫን,O
18977,ቴሌግራማችንን,O
18978,ይቀላቀሉhttps://t.me/sinayelj,O
18979,እቃ,O
18980,ለማዘዝ,O
18981,ከስር,O
18982,ያለውን,O
18983,ሊንኮች,O
18984,በመጫን,O
18985,ማዘዝ,O
18986,ትችላላቹ,O
18987,@sinasinaye,O
18988,https://t.me/sinayelj2,O
18989,አድራሻ,O
18990,1⃣ቁጥር1,O
18991,ገርጂ,I-LOC
18992,ኢምፔሪያል,I-LOC
18993,ከሳሚ,O
18994,ህንፃ,I-LOC
18995,ጎን,O
18996,አልፎዝ,O
18997,ፕላዛ,I-LOC
18998,ግራውንድ,O
18999,ላይ,O
19000,እንደገቡ,O
19001,ያገኙናል,O
19002,2⃣ቁጥር2,O
19003,4ኪሎ,I-LOC
19004,ቅድስት,O
19005,ስላሴ,I-LOC
19006,ህንፃ,I-LOC
19007,ማለትም,O
19008,ከብልፅግና,O
19009,ዋናፅፈት,O
19010,ቤት,O
19011,ህንፃ,I-LOC
19012,በስተ,O
19013,ቀኝ,O
19014,ባለው,O
19015,አስፓልት,O
19016,20ሜትር,O
19017,ዝቅ,O
19018,እንዳሉ,O
19019,ሀበሻ,O
19020,ኮፊ,O
19021,የሚገኝበት,O
19022,ቀይ,O
19023,ሸክላ,O
19024,ህንፃ,I-LOC
19025,2ተኛ,O
19026,ፎቅ,I-LOC
19027,ላይ,O
19028,ያገኙናል,O
19029,3⃣ቁጥር3,O
19030,ብስራተ,I-LOC
19031,ገብርኤል,I-PRICE
19032,ላፍቶ,I-LOC
19033,ሞል,I-LOC
19034,መግቢያው,O
19035,ፊት,O
19036,ለፊት,O
19037,የሚገኘው,O
19038,የብስራተ,I-LOC
19039,ገብርኤል,I-PRICE
19040,ቤተ,O
19041,ክርስቲያን,O
19042,ህንፃ,I-LOC
19043,አንደኛ,O
19044,ፎቅ,I-LOC
19045,ላይ,O
19046,ደረጃ,O
19047,እንደወጣቹ,O
19048,በስተግራ,O
19049,በኩል,O
19050,ሱቅ,O
19051,ቁጥር,O
19052,FF-09,O
19053,ክቡራን,O
19054,ደምበኞቻችን,O
19055,ገርጂ,I-LOC
19056,አልፎዝ,O
19057,ፕላዛ,I-LOC
19058,ላይ,O
19059,አራት,O
19060,ኪሎ,O
19061,ቅድስት,O
19062,ስላሴ,I-LOC
19063,እንዲሁም,O
19064,ብስራተ,I-LOC
19065,ገብሬል,O
19066,ያሉት,O
19067,ሱቆቻችን,O
19068,ሲመጡ,O
19069,አስተማማኝ,O
19070,ሰፊ,O
19071,ፓርኪንግ,O
19072,ያላቸው,O
19073,መሆናቸውን,O
19074,በታላቅ,O
19075,ደስታ,O
19076,እናበስራለን,O
19077,2,B-PRODUCT
19078,in,I-PRODUCT
19079,1,I-PRODUCT
19080,baby,I-PRODUCT
19081,girl,I-PRODUCT
19082,dress,I-PRODUCT
19083,2200,I-PRICE
19084,birr,I-PRICE
19085,0909003864,I-PHONE
19086,0905707448,I-PHONE
19087,ሊንኩን,O
19088,በመጫን,O
19089,ቴሌግራማችንን,O
19090,ይቀላቀሉhttps://t.me/sinayelj,O
19091,እቃ,O
19092,ለማዘዝ,O
19093,ከስር,O
19094,ያለውን,O
19095,ሊንኮች,O
19096,በመጫን,O
19097,ማዘዝ,O
19098,ትችላላቹ,O
19099,@sinasinaye,O
19100,https://t.me/sinayelj2,O
19101,አድራሻ,O
19102,1⃣ቁጥር1,O
19103,ገርጂ,I-LOC
19104,ኢምፔሪያል,I-LOC
19105,ከሳሚ,O
19106,ህንፃ,I-LOC
19107,ጎን,O
19108,አልፎዝ,O
19109,ፕላዛ,I-LOC
19110,ግራውንድ,O
19111,ላይ,O
19112,እንደገቡ,O
19113,ያገኙናል,O
19114,2⃣ቁጥር2,O
19115,4ኪሎ,I-LOC
19116,ቅድስት,O
19117,ስላሴ,I-LOC
19118,ህንፃ,I-LOC
19119,ማለትም,O
19120,ከብልፅግና,O
19121,ዋናፅፈት,O
19122,ቤት,O
19123,ህንፃ,I-LOC
19124,በስተ,O
19125,ቀኝ,O
19126,ባለው,O
19127,አስፓልት,O
19128,20ሜትር,O
19129,ዝቅ,O
19130,እንዳሉ,O
19131,ሀበሻ,O
19132,ኮፊ,O
19133,የሚገኝበት,O
19134,ቀይ,O
19135,ሸክላ,O
19136,ህንፃ,I-LOC
19137,2ተኛ,O
19138,ፎቅ,I-LOC
19139,ላይ,O
19140,ያገኙናል,O
19141,3⃣ቁጥር3,O
19142,ብስራተ,I-LOC
19143,ገብርኤል,I-PRICE
19144,ላፍቶ,I-LOC
19145,ሞል,I-LOC
19146,መግቢያው,O
19147,ፊት,O
19148,ለፊት,O
19149,የሚገኘው,O
19150,የብስራተ,I-LOC
19151,ገብርኤል,I-PRICE
19152,ቤተ,O
19153,ክርስቲያን,O
19154,ህንፃ,I-LOC
19155,አንደኛ,O
19156,ፎቅ,I-LOC
19157,ላይ,O
19158,ደረጃ,O
19159,እንደወጣቹ,O
19160,በስተግራ,O
19161,በኩል,O
19162,ሱቅ,O
19163,ቁጥር,O
19164,FF-09,O
19165,ክቡራን,O
19166,ደምበኞቻችን,O
19167,ገርጂ,I-LOC
19168,አልፎዝ,O
19169,ፕላዛ,I-LOC
19170,ላይ,O
19171,አራት,O
19172,ኪሎ,O
19173,ቅድስት,O
19174,ስላሴ,I-LOC
19175,እንዲሁም,O
19176,ብስራተ,I-LOC
19177,ገብሬል,O
19178,ያሉት,O
19179,ሱቆቻችን,O
19180,ሲመጡ,O
19181,አስተማማኝ,O
19182,ሰፊ,O
19183,ፓርኪንግ,O
19184,ያላቸው,O
19185,መሆናቸውን,O
19186,በታላቅ,O
19187,ደስታ,O
19188,እናበስራለን,O
19189,2,B-PRODUCT
19190,in,I-PRODUCT
19191,1,I-PRODUCT
19192,baby,I-PRODUCT
19193,girl,I-PRODUCT
19194,dress,I-PRODUCT
19195,2200,I-PRICE
19196,birr,I-PRICE
19197,0909003864,I-PHONE
19198,0905707448,I-PHONE
19199,ሊንኩን,O
19200,በመጫን,O
19201,ቴሌግራማችንን,O
19202,ይቀላቀሉhttps://t.me/sinayelj,O
19203,እቃ,O
19204,ለማዘዝ,O
19205,ከስር,O
19206,ያለውን,O
19207,ሊንኮች,O
19208,በመጫን,O
19209,ማዘዝ,O
19210,ትችላላቹ,O
19211,@sinasinaye,O
19212,https://t.me/sinayelj2,O
19213,አድራሻ,O
19214,1⃣ቁጥር1,O
19215,ገርጂ,I-LOC
19216,ኢምፔሪያል,I-LOC
19217,ከሳሚ,O
19218,ህንፃ,I-LOC
19219,ጎን,O
19220,አልፎዝ,O
19221,ፕላዛ,I-LOC
19222,ግራውንድ,O
19223,ላይ,O
19224,እንደገቡ,O
19225,ያገኙናል,O
19226,2⃣ቁጥር2,O
19227,4ኪሎ,I-LOC
19228,ቅድስት,O
19229,ስላሴ,I-LOC
19230,ህንፃ,I-LOC
19231,ማለትም,O
19232,ከብልፅግና,O
19233,ዋናፅፈት,O
19234,ቤት,O
19235,ህንፃ,I-LOC
19236,በስተ,O
19237,ቀኝ,O
19238,ባለው,O
19239,አስፓልት,O
19240,20ሜትር,O
19241,ዝቅ,O
19242,እንዳሉ,O
19243,ሀበሻ,O
19244,ኮፊ,O
19245,የሚገኝበት,O
19246,ቀይ,O
19247,ሸክላ,O
19248,ህንፃ,I-LOC
19249,2ተኛ,O
19250,ፎቅ,I-LOC
19251,ላይ,O
19252,ያገኙናል,O
19253,3⃣ቁጥር3,O
19254,ብስራተ,I-LOC
19255,ገብርኤል,I-PRICE
19256,ላፍቶ,I-LOC
19257,ሞል,I-LOC
19258,መግቢያው,O
19259,ፊት,O
19260,ለፊት,O
19261,የሚገኘው,O
19262,የብስራተ,I-LOC
19263,ገብርኤል,I-PRICE
19264,ቤተ,O
19265,ክርስቲያን,O
19266,ህንፃ,I-LOC
19267,አንደኛ,O
19268,ፎቅ,I-LOC
19269,ላይ,O
19270,ደረጃ,O
19271,እንደወጣቹ,O
19272,በስተግራ,O
19273,በኩል,O
19274,ሱቅ,O
19275,ቁጥር,O
19276,FF-09,O
19277,ክቡራን,O
19278,ደምበኞቻችን,O
19279,ገርጂ,I-LOC
19280,አልፎዝ,O
19281,ፕላዛ,I-LOC
19282,ላይ,O
19283,አራት,O
19284,ኪሎ,O
19285,ቅድስት,O
19286,ስላሴ,I-LOC
19287,እንዲሁም,O
19288,ብስራተ,I-LOC
19289,ገብሬል,O
19290,ያሉት,O
19291,ሱቆቻችን,O
19292,ሲመጡ,O
19293,አስተማማኝ,O
19294,ሰፊ,O
19295,ፓርኪንግ,O
19296,ያላቸው,O
19297,መሆናቸውን,O
19298,በታላቅ,O
19299,ደስታ,O
19300,እናበስራለን,O
19301,2,B-PRODUCT
19302,in,I-PRODUCT
19303,1,I-PRODUCT
19304,baby,I-PRODUCT
19305,girl,I-PRODUCT
19306,dress,I-PRODUCT
19307,2200,I-PRICE
19308,birr,I-PRICE
19309,0909003864,I-PHONE
19310,0905707448,I-PHONE
19311,ሊንኩን,O
19312,በመጫን,O
19313,ቴሌግራማችንን,O
19314,ይቀላቀሉhttps://t.me/sinayelj,O
19315,እቃ,O
19316,ለማዘዝ,O
19317,ከስር,O
19318,ያለውን,O
19319,ሊንኮች,O
19320,በመጫን,O
19321,ማዘዝ,O
19322,ትችላላቹ,O
19323,@sinasinaye,O
19324,https://t.me/sinayelj2,O
19325,አድራሻ,O
19326,1⃣ቁጥር1,O
19327,ገርጂ,I-LOC
19328,ኢምፔሪያል,I-LOC
19329,ከሳሚ,O
19330,ህንፃ,I-LOC
19331,ጎን,O
19332,አልፎዝ,O
19333,ፕላዛ,I-LOC
19334,ግራውንድ,O
19335,ላይ,O
19336,እንደገቡ,O
19337,ያገኙናል,O
19338,2⃣ቁጥር2,O
19339,4ኪሎ,I-LOC
19340,ቅድስት,O
19341,ስላሴ,I-LOC
19342,ህንፃ,I-LOC
19343,ማለትም,O
19344,ከብልፅግና,O
19345,ዋናፅፈት,O
19346,ቤት,O
19347,ህንፃ,I-LOC
19348,በስተ,O
19349,ቀኝ,O
19350,ባለው,O
19351,አስፓልት,O
19352,20ሜትር,O
19353,ዝቅ,O
19354,እንዳሉ,O
19355,ሀበሻ,O
19356,ኮፊ,O
19357,የሚገኝበት,O
19358,ቀይ,O
19359,ሸክላ,O
19360,ህንፃ,I-LOC
19361,2ተኛ,O
19362,ፎቅ,I-LOC
19363,ላይ,O
19364,ያገኙናል,O
19365,3⃣ቁጥር3,O
19366,ብስራተ,I-LOC
19367,ገብርኤል,I-PRICE
19368,ላፍቶ,I-LOC
19369,ሞል,I-LOC
19370,መግቢያው,O
19371,ፊት,O
19372,ለፊት,O
19373,የሚገኘው,O
19374,የብስራተ,I-LOC
19375,ገብርኤል,I-PRICE
19376,ቤተ,O
19377,ክርስቲያን,O
19378,ህንፃ,I-LOC
19379,አንደኛ,O
19380,ፎቅ,I-LOC
19381,ላይ,O
19382,ደረጃ,O
19383,እንደወጣቹ,O
19384,በስተግራ,O
19385,በኩል,O
19386,ሱቅ,O
19387,ቁጥር,O
19388,FF-09,O
19389,ክቡራን,O
19390,ደምበኞቻችን,O
19391,ገርጂ,I-LOC
19392,አልፎዝ,O
19393,ፕላዛ,I-LOC
19394,ላይ,O
19395,አራት,O
19396,ኪሎ,O
19397,ቅድስት,O
19398,ስላሴ,I-LOC
19399,እንዲሁም,O
19400,ብስራተ,I-LOC
19401,ገብሬል,O
19402,ያሉት,O
19403,ሱቆቻችን,O
19404,ሲመጡ,O
19405,አስተማማኝ,O
19406,ሰፊ,O
19407,ፓርኪንግ,O
19408,ያላቸው,O
19409,መሆናቸውን,O
19410,በታላቅ,O
19411,ደስታ,O
19412,እናበስራለን,O
19413,High,B-PRODUCT
19414,quality,I-PRODUCT
19415,baby,I-PRODUCT
19416,jump,I-PRODUCT
19417,suit,I-PRODUCT
19418,1500,I-PRICE
19419,birr,I-PRICE
19420,0909003864,I-PHONE
19421,0905707448,I-PHONE
19422,ሊንኩን,O
19423,በመጫን,O
19424,ቴሌግራማችንን,O
19425,ይቀላቀሉhttps://t.me/sinayelj,O
19426,እቃ,O
19427,ለማዘዝ,O
19428,ከስር,O
19429,ያለውን,O
19430,ሊንኮች,O
19431,በመጫን,O
19432,ማዘዝ,O
19433,ትችላላቹ,O
19434,@sinasinaye,O
19435,https://t.me/sinayelj2,O
19436,አድራሻ,O
19437,1⃣ቁጥር1,O
19438,ገርጂ,I-LOC
19439,ኢምፔሪያል,I-LOC
19440,ከሳሚ,O
19441,ህንፃ,I-LOC
19442,ጎን,O
19443,አልፎዝ,O
19444,ፕላዛ,I-LOC
19445,ግራውንድ,O
19446,ላይ,O
19447,እንደገቡ,O
19448,ያገኙናል,O
19449,2⃣ቁጥር2,O
19450,4ኪሎ,I-LOC
19451,ቅድስት,O
19452,ስላሴ,I-LOC
19453,ህንፃ,I-LOC
19454,ማለትም,O
19455,ከብልፅግና,O
19456,ዋናፅፈት,O
19457,ቤት,O
19458,ህንፃ,I-LOC
19459,በስተ,O
19460,ቀኝ,O
19461,ባለው,O
19462,አስፓልት,O
19463,20ሜትር,O
19464,ዝቅ,O
19465,እንዳሉ,O
19466,ሀበሻ,O
19467,ኮፊ,O
19468,የሚገኝበት,O
19469,ቀይ,O
19470,ሸክላ,O
19471,ህንፃ,I-LOC
19472,2ተኛ,O
19473,ፎቅ,I-LOC
19474,ላይ,O
19475,ያገኙናል,O
19476,3⃣ቁጥር3,O
19477,ብስራተ,I-LOC
19478,ገብርኤል,I-PRICE
19479,ላፍቶ,I-LOC
19480,ሞል,I-LOC
19481,መግቢያው,O
19482,ፊት,O
19483,ለፊት,O
19484,የሚገኘው,O
19485,የብስራተ,I-LOC
19486,ገብርኤል,I-PRICE
19487,ቤተ,O
19488,ክርስቲያን,O
19489,ህንፃ,I-LOC
19490,አንደኛ,O
19491,ፎቅ,I-LOC
19492,ላይ,O
19493,ደረጃ,O
19494,እንደወጣቹ,O
19495,በስተግራ,O
19496,በኩል,O
19497,ሱቅ,O
19498,ቁጥር,O
19499,FF-09,O
19500,ክቡራን,O
19501,ደምበኞቻችን,O
19502,ገርጂ,I-LOC
19503,አልፎዝ,O
19504,ፕላዛ,I-LOC
19505,ላይ,O
19506,አራት,O
19507,ኪሎ,O
19508,ቅድስት,O
19509,ስላሴ,I-LOC
19510,እንዲሁም,O
19511,ብስራተ,I-LOC
19512,ገብሬል,O
19513,ያሉት,O
19514,ሱቆቻችን,O
19515,ሲመጡ,O
19516,አስተማማኝ,O
19517,ሰፊ,O
19518,ፓርኪንግ,O
19519,ያላቸው,O
19520,መሆናቸውን,O
19521,በታላቅ,O
19522,ደስታ,O
19523,እናበስራለን,O
19524,High,B-PRODUCT
19525,quality,I-PRODUCT
19526,baby,I-PRODUCT
19527,jump,I-PRODUCT
19528,suit,I-PRODUCT
19529,1900,I-PRICE
19530,birr,I-PRICE
19531,0909003864,I-PHONE
19532,0905707448,I-PHONE
19533,ሊንኩን,O
19534,በመጫን,O
19535,ቴሌግራማችንን,O
19536,ይቀላቀሉhttps://t.me/sinayelj,O
19537,እቃ,O
19538,ለማዘዝ,O
19539,ከስር,O
19540,ያለውን,O
19541,ሊንኮች,O
19542,በመጫን,O
19543,ማዘዝ,O
19544,ትችላላቹ,O
19545,@sinasinaye,O
19546,https://t.me/sinayelj2,O
19547,አድራሻ,O
19548,1⃣ቁጥር1,O
19549,ገርጂ,I-LOC
19550,ኢምፔሪያል,I-LOC
19551,ከሳሚ,O
19552,ህንፃ,I-LOC
19553,ጎን,O
19554,አልፎዝ,O
19555,ፕላዛ,I-LOC
19556,ግራውንድ,O
19557,ላይ,O
19558,እንደገቡ,O
19559,ያገኙናል,O
19560,2⃣ቁጥር2,O
19561,4ኪሎ,I-LOC
19562,ቅድስት,O
19563,ስላሴ,I-LOC
19564,ህንፃ,I-LOC
19565,ማለትም,O
19566,ከብልፅግና,O
19567,ዋናፅፈት,O
19568,ቤት,O
19569,ህንፃ,I-LOC
19570,በስተ,O
19571,ቀኝ,O
19572,ባለው,O
19573,አስፓልት,O
19574,20ሜትር,O
19575,ዝቅ,O
19576,እንዳሉ,O
19577,ሀበሻ,O
19578,ኮፊ,O
19579,የሚገኝበት,O
19580,ቀይ,O
19581,ሸክላ,O
19582,ህንፃ,I-LOC
19583,2ተኛ,O
19584,ፎቅ,I-LOC
19585,ላይ,O
19586,ያገኙናል,O
19587,3⃣ቁጥር3,O
19588,ብስራተ,I-LOC
19589,ገብርኤል,I-PRICE
19590,ላፍቶ,I-LOC
19591,ሞል,I-LOC
19592,መግቢያው,O
19593,ፊት,O
19594,ለፊት,O
19595,የሚገኘው,O
19596,የብስራተ,I-LOC
19597,ገብርኤል,I-PRICE
19598,ቤተ,O
19599,ክርስቲያን,O
19600,ህንፃ,I-LOC
19601,አንደኛ,O
19602,ፎቅ,I-LOC
19603,ላይ,O
19604,ደረጃ,O
19605,እንደወጣቹ,O
19606,በስተግራ,O
19607,በኩል,O
19608,ሱቅ,O
19609,ቁጥር,O
19610,FF-09,O
19611,ክቡራን,O
19612,ደምበኞቻችን,O
19613,ገርጂ,I-LOC
19614,አልፎዝ,O
19615,ፕላዛ,I-LOC
19616,ላይ,O
19617,አራት,O
19618,ኪሎ,O
19619,ቅድስት,O
19620,ስላሴ,I-LOC
19621,እንዲሁም,O
19622,ብስራተ,I-LOC
19623,ገብሬል,O
19624,ያሉት,O
19625,ሱቆቻችን,O
19626,ሲመጡ,O
19627,አስተማማኝ,O
19628,ሰፊ,O
19629,ፓርኪንግ,O
19630,ያላቸው,O
19631,መሆናቸውን,O
19632,በታላቅ,O
19633,ደስታ,O
19634,እናበስራለን,O
19635,High,B-PRODUCT
19636,quality,I-PRODUCT
19637,gown,I-PRODUCT
19638,1700birr,I-PRICE
19639,0909003864,I-PHONE
19640,0905707448,I-PHONE
19641,ሊንኩን,O
19642,በመጫን,O
19643,ቴሌግራማችንን,O
19644,ይቀላቀሉhttps://t.me/sinayelj,O
19645,እቃ,O
19646,ለማዘዝ,O
19647,ከስር,O
19648,ያለውን,O
19649,ሊንኮች,O
19650,በመጫን,O
19651,ማዘዝ,O
19652,ትችላላቹ,O
19653,@sinasinaye,O
19654,https://t.me/sinayelj2,O
19655,አድራሻ,O
19656,1⃣ቁጥር1,O
19657,ገርጂ,I-LOC
19658,ኢምፔሪያል,I-LOC
19659,ከሳሚ,O
19660,ህንፃ,I-LOC
19661,ጎን,O
19662,አልፎዝ,O
19663,ፕላዛ,I-LOC
19664,ግራውንድ,O
19665,ላይ,O
19666,እንደገቡ,O
19667,ያገኙናል,O
19668,2⃣ቁጥር2,O
19669,4ኪሎ,I-LOC
19670,ቅድስት,O
19671,ስላሴ,I-LOC
19672,ህንፃ,I-LOC
19673,ማለትም,O
19674,ከብልፅግና,O
19675,ዋናፅፈት,O
19676,ቤት,O
19677,ህንፃ,I-LOC
19678,በስተ,O
19679,ቀኝ,O
19680,ባለው,O
19681,አስፓልት,O
19682,20ሜትር,O
19683,ዝቅ,O
19684,እንዳሉ,O
19685,ሀበሻ,O
19686,ኮፊ,O
19687,የሚገኝበት,O
19688,ቀይ,O
19689,ሸክላ,O
19690,ህንፃ,I-LOC
19691,2ተኛ,O
19692,ፎቅ,I-LOC
19693,ላይ,O
19694,ያገኙናል,O
19695,3⃣ቁጥር3,O
19696,ብስራተ,I-LOC
19697,ገብርኤል,I-PRICE
19698,ላፍቶ,I-LOC
19699,ሞል,I-LOC
19700,መግቢያው,O
19701,ፊት,O
19702,ለፊት,O
19703,የሚገኘው,O
19704,የብስራተ,I-LOC
19705,ገብርኤል,I-PRICE
19706,ቤተ,O
19707,ክርስቲያን,O
19708,ህንፃ,I-LOC
19709,አንደኛ,O
19710,ፎቅ,I-LOC
19711,ላይ,O
19712,ደረጃ,O
19713,እንደወጣቹ,O
19714,በስተግራ,O
19715,በኩል,O
19716,ሱቅ,O
19717,ቁጥር,O
19718,FF-09,O
19719,ክቡራን,O
19720,ደምበኞቻችን,O
19721,ገርጂ,I-LOC
19722,አልፎዝ,O
19723,ፕላዛ,I-LOC
19724,ላይ,O
19725,አራት,O
19726,ኪሎ,O
19727,ቅድስት,O
19728,ስላሴ,I-LOC
19729,እንዲሁም,O
19730,ብስራተ,I-LOC
19731,ገብሬል,O
19732,ያሉት,O
19733,ሱቆቻችን,O
19734,ሲመጡ,O
19735,አስተማማኝ,O
19736,ሰፊ,O
19737,ፓርኪንግ,O
19738,ያላቸው,O
19739,መሆናቸውን,O
19740,በታላቅ,O
19741,ደስታ,O
19742,እናበስራለን,O
19743,High,B-PRODUCT
19744,quality,I-PRODUCT
19745,3,I-PRODUCT
19746,pcs,I-PRODUCT
19747,baby,I-PRODUCT
19748,clothes,I-PRODUCT
19749,1900,I-PRICE
